+----------------------------+-------------------------------------------+---------+----------+----------+-------------------------------+--------+------------+---------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                              |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                      |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                    |
| *** ALSO ***                                                                                                                                                                                                                 |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                    |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                     |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                    |
+----------------------------+-------------------------------------------+---------+----------+----------+-------------------------------+--------+------------+---------------------------------------------------------------+
| Mod name                   | Registry name                             | Item ID | Meta/dmg | Subtypes | Display name                  | Hunger | Saturation | Ore Dict keys                                                 |
+----------------------------+-------------------------------------------+---------+----------+----------+-------------------------------+--------+------------+---------------------------------------------------------------+
| Emerging Technology        | emergingtechnology:algaebarcooked         |    8693 |        0 |    false | Cooked Algae Bar              |      5 |       1.28 |                                                               |
| Emerging Technology        | emergingtechnology:drink                  |    7932 |        0 |    false | Meal Replacement Drink        |      7 |       1.82 |                                                               |
| Emerging Technology        | emergingtechnology:syntheticchickencooked |    8698 |        0 |    false | Cooked Synthetic Chicken Meat |      6 |       1.66 | cookedMeat,listAllchickencooked,listAllmeat,listAllmeatcooked |
| Emerging Technology        | emergingtechnology:syntheticcowcooked     |    8673 |        0 |    false | Cooked Synthetic Cow Meat     |      7 |       1.82 | cookedMeat,listAllbeefcooked,listAllmeat,listAllmeatcooked    |
| Emerging Technology        | emergingtechnology:syntheticpigcooked     |    8666 |        0 |    false | Cooked Synthetic Pig Meat     |      7 |       1.82 | cookedMeat,listAllmeat,listAllmeatcooked,listAllporkcooked    |
| Ender IO                   | enderio:item_ender_food                   |    5797 |        0 |     true | "Enderios"                    |     10 |        0.8 |                                                               |
| Industrial Meat            | industrialmeat:cooked_meat_ingot          |    6230 |        0 |    false | Meat Ingot                    |      6 |        0.8 | ingotMeatCooked                                               |
| Industrial Meat            | industrialmeat:raw_meat_ingot             |    6229 |        0 |    false | Raw Meat Ingot                |      6 |        0.8 | ingotMeatRaw                                                  |
| Industrial Meat            | industrialmeat:raw_meat_nugget            |    6231 |        0 |    false | Raw Meat Nugget               |      6 |        0.8 |                                                               |
| Minecraft                  | minecraft:apple                           |     260 |        0 |    false | Apple                         |      4 |        0.3 |                                                               |
| Minecraft                  | minecraft:baked_potato                    |     393 |        0 |    false | Baked Potato                  |      5 |        0.6 |                                                               |
| Minecraft                  | minecraft:beef                            |     363 |        0 |    false | Raw Beef                      |      3 |        0.3 | listAllMeatRaw                                                |
| Minecraft                  | minecraft:beetroot                        |     434 |        0 |    false | Beetroot                      |      1 |        0.6 | cropBeetroot                                                  |
| Minecraft                  | minecraft:beetroot_soup                   |     436 |        0 |    false | Beetroot Soup                 |      6 |        0.6 |                                                               |
| Minecraft                  | minecraft:bread                           |     297 |        0 |    false | Bread                         |      5 |        0.6 |                                                               |
| Minecraft                  | minecraft:carrot                          |     391 |        0 |    false | Carrot                        |      3 |        0.6 | cropCarrot                                                    |
| Minecraft                  | minecraft:chicken                         |     365 |        0 |    false | Raw Chicken                   |      2 |        0.3 | listAllMeatRaw                                                |
| Minecraft                  | minecraft:chorus_fruit                    |     432 |        0 |    false | Chorus Fruit                  |      4 |        0.3 |                                                               |
| Minecraft                  | minecraft:cooked_beef                     |     364 |        0 |    false | Steak                         |      8 |        0.8 |                                                               |
| Minecraft                  | minecraft:cooked_chicken                  |     366 |        0 |    false | Cooked Chicken                |      6 |        0.6 |                                                               |
| Minecraft                  | minecraft:cooked_fish                     |     350 |        0 |     true | Cooked Fish                   |      5 |        0.6 |                                                               |
